id,revenue_line,region,amount,order_date
R001,product,EU,800,2024-01-05
R002,product,EU,800,2024-01-10
R003,product,EU,800,2024-01-15
R004,product,EU,800,2024-01-20
R005,product,EU,800,2024-01-25
R006,product,US,600,2024-01-04
R007,product,US,600,2024-01-09
R008,product,US,600,2024-01-14
R009,product,US,600,2024-01-19
R010,product,US,600,2024-01-24
R011,product,APAC,400,2024-01-07
R012,product,APAC,400,2024-01-17
R013,product,APAC,400,2024-01-27
R014,service,EU,500,2024-01-03
R015,service,EU,500,2024-01-08
R016,service,EU,500,2024-01-13
R017,service,EU,500,2024-01-18
R018,service,EU,500,2024-01-23
R019,service,US,400,2024-01-06
R020,service,US,400,2024-01-11
R021,service,US,400,2024-01-16
R022,service,US,400,2024-01-21
R023,service,US,400,2024-01-26
R024,service,APAC,300,2024-01-09
R025,service,APAC,300,2024-01-19
R101,product,EU,200,2024-02-05
R102,product,EU,200,2024-02-15
R103,product,EU,200,2024-02-25
R104,product,US,600,2024-02-04
R105,product,US,600,2024-02-09
R106,product,US,600,2024-02-14
R107,product,US,600,2024-02-19
R108,product,US,600,2024-02-24
R109,product,APAC,400,2024-02-07
R110,product,APAC,400,2024-02-17
R111,product,APAC,400,2024-02-27
R112,service,EU,100,2024-02-03
R113,service,EU,100,2024-02-13
R114,service,EU,100,2024-02-23
R115,service,US,400,2024-02-06
R116,service,US,400,2024-02-11
R117,service,US,400,2024-02-16
R118,service,US,400,2024-02-21
R119,service,US,400,2024-02-26
R120,service,APAC,300,2024-02-09
R121,service,APAC,300,2024-02-19
