id,region,plan,channel,product_sku,amount,order_date
T001,EU,enterprise,partner,SKU_A,500,2024-01-05
T002,EU,enterprise,partner,SKU_B,500,2024-01-06
T003,EU,enterprise,partner,SKU_A,500,2024-01-08
T004,EU,enterprise,partner,SKU_C,500,2024-01-10
T005,EU,enterprise,partner,SKU_B,500,2024-01-12
T006,EU,enterprise,partner,SKU_A,500,2024-01-15
T007,EU,enterprise,direct,SKU_A,250,2024-01-07
T008,EU,enterprise,direct,SKU_B,250,2024-01-14
T009,US,enterprise,direct,SKU_A,400,2024-01-03
T010,US,enterprise,direct,SKU_B,400,2024-01-07
T011,US,enterprise,direct,SKU_C,400,2024-01-11
T012,US,enterprise,direct,SKU_A,400,2024-01-18
T013,US,enterprise,direct,SKU_B,400,2024-01-22
T014,US,enterprise,partner,SKU_A,500,2024-01-04
T015,US,enterprise,partner,SKU_C,500,2024-01-12
T016,US,enterprise,partner,SKU_B,500,2024-01-20
T017,APAC,enterprise,self_serve,SKU_A,500,2024-01-09
T018,APAC,enterprise,self_serve,SKU_B,500,2024-01-16
T019,EU,growth,direct,SKU_D,200,2024-01-06
T020,EU,growth,direct,SKU_D,200,2024-01-18
T021,US,growth,partner,SKU_D,200,2024-01-08
T022,US,growth,partner,SKU_E,200,2024-01-15
T023,US,growth,partner,SKU_E,200,2024-01-23
T024,APAC,growth,self_serve,SKU_D,150,2024-01-10
T025,APAC,growth,self_serve,SKU_E,150,2024-01-20
T026,EU,free,self_serve,SKU_F,100,2024-01-05
T027,EU,free,self_serve,SKU_F,100,2024-01-19
T028,US,free,self_serve,SKU_F,100,2024-01-08
T029,US,free,self_serve,SKU_G,100,2024-01-16
T030,US,free,self_serve,SKU_F,100,2024-01-24
T031,APAC,free,self_serve,SKU_G,100,2024-01-12
T032,APAC,free,self_serve,SKU_G,100,2024-01-22
T033,EU,promo_trial,partner,SKU_H,50,2024-01-10
T034,EU,enterprise,partner,SKU_H,30,2024-01-14
T035,US,enterprise,direct,SKU_H,20,2024-01-17
T036,EU,enterprise,partner,SKU_I,25,2024-01-20
T037,US,growth,direct,SKU_I,15,2024-01-25
T038,EU,enterprise,partner,SKU_J,20,2024-01-22
T039,APAC,growth,partner,SKU_J,10,2024-01-28
T040,EU,enterprise,partner,SKU_K,25,2024-01-11
T041,US,free,direct,SKU_K,15,2024-01-19
T042,EU,enterprise,partner,SKU_L,20,2024-01-26
T043,EU,enterprise,partner,SKU_M,15,2024-01-08
T044,US,enterprise,partner,SKU_M,10,2024-01-15
T045,EU,enterprise,partner,SKU_N,20,2024-01-13
T046,APAC,enterprise,self_serve,SKU_N,10,2024-01-21
T101,EU,enterprise,partner,SKU_A,400,2024-02-05
T102,EU,enterprise,partner,SKU_B,400,2024-02-12
T103,EU,enterprise,partner,SKU_A,400,2024-02-20
T104,EU,enterprise,direct,SKU_A,250,2024-02-03
T105,EU,enterprise,direct,SKU_B,250,2024-02-10
T106,EU,enterprise,direct,SKU_C,250,2024-02-17
T107,EU,enterprise,direct,SKU_A,250,2024-02-24
T108,US,enterprise,direct,SKU_A,440,2024-02-02
T109,US,enterprise,direct,SKU_B,440,2024-02-07
T110,US,enterprise,direct,SKU_C,440,2024-02-12
T111,US,enterprise,direct,SKU_A,440,2024-02-18
T112,US,enterprise,direct,SKU_B,440,2024-02-25
T113,US,enterprise,partner,SKU_A,350,2024-02-04
T114,US,enterprise,partner,SKU_C,350,2024-02-11
T115,US,enterprise,partner,SKU_B,350,2024-02-18
T116,US,enterprise,partner,SKU_A,350,2024-02-25
T117,APAC,enterprise,self_serve,SKU_A,500,2024-02-08
T118,APAC,enterprise,self_serve,SKU_B,500,2024-02-19
T119,EU,growth,direct,SKU_D,100,2024-02-14
T120,US,growth,partner,SKU_D,175,2024-02-06
T121,US,growth,partner,SKU_E,175,2024-02-13
T122,US,growth,partner,SKU_E,175,2024-02-20
T123,US,growth,partner,SKU_D,175,2024-02-27
T124,APAC,growth,self_serve,SKU_D,150,2024-02-09
T125,APAC,growth,self_serve,SKU_E,150,2024-02-21
T126,EU,free,self_serve,SKU_F,75,2024-02-07
T127,EU,free,self_serve,SKU_F,75,2024-02-22
T128,US,free,self_serve,SKU_F,117,2024-02-05
T129,US,free,self_serve,SKU_G,117,2024-02-15
T130,US,free,self_serve,SKU_F,116,2024-02-26
T131,APAC,free,self_serve,SKU_G,100,2024-02-11
T132,APAC,free,self_serve,SKU_G,100,2024-02-23
