session_id,visitor_id,source,region,converted,session_date
V001,U01,organic,NA,true,2024-01-05
V002,U02,organic,NA,false,2024-01-05
V003,U03,paid,NA,true,2024-01-06
V004,U04,paid,NA,true,2024-01-07
V005,U05,organic,NA,false,2024-01-08
V006,U06,paid,EU,true,2024-01-09
V007,U07,organic,EU,false,2024-01-10
V008,U08,organic,EU,true,2024-01-11
V009,U09,paid,EU,true,2024-01-12
V010,U10,organic,EU,false,2024-01-13
V011,U11,organic,EU,true,2024-01-14
V012,U12,paid,EU,true,2024-01-15
V013,U13,organic,APAC,true,2024-01-16
V014,U14,paid,APAC,false,2024-01-17
V015,U15,organic,APAC,true,2024-01-18
V016,U16,paid,APAC,true,2024-01-19
V017,U17,organic,NA,true,2024-01-20
V018,U18,referral,NA,true,2024-01-21
V019,U19,referral,EU,false,2024-01-22
V020,U20,referral,EU,true,2024-01-23
V021,U21,organic,NA,false,2024-01-24
V022,U22,paid,NA,true,2024-01-25
V023,U23,organic,EU,true,2024-01-26
V024,U24,paid,APAC,true,2024-01-28
V025,U25,organic,NA,true,2024-01-29
V026,U26,referral,NA,false,2024-01-30
V027,U27,organic,EU,false,2024-01-31
V028,U28,paid,APAC,false,2024-01-31
V101,U29,organic,NA,true,2024-02-03
V102,U30,paid,NA,true,2024-02-04
V103,U31,organic,NA,false,2024-02-05
V104,U32,paid,NA,true,2024-02-06
V105,U33,organic,EU,false,2024-02-07
V106,U34,organic,EU,false,2024-02-08
V107,U35,paid,EU,false,2024-02-09
V108,U36,organic,EU,false,2024-02-10
V109,U37,organic,EU,false,2024-02-11
V110,U38,paid,EU,false,2024-02-12
V111,U39,organic,APAC,true,2024-02-14
V112,U40,paid,APAC,true,2024-02-15
V113,U41,organic,APAC,true,2024-02-16
V114,U42,organic,APAC,false,2024-02-17
V115,U43,organic,NA,true,2024-02-18
V116,U44,paid,NA,false,2024-02-19
V117,U45,referral,NA,true,2024-02-20
V118,U46,organic,EU,false,2024-02-22
V119,U47,paid,EU,false,2024-02-24
V120,U48,referral,EU,false,2024-02-26
V121,U49,organic,NA,true,2024-02-27
V122,U50,paid,APAC,true,2024-02-28
