session_id,visitor_id,platform,country,event_date,reached_hlp,reached_lys,reached_amenities,reached_address,reached_calendar,reached_price,reached_publish,reached_new_listing,reached_active_listing
S0001,V0251,web,US,2024-01-21,true,true,false,false,false,false,false,false,false
S0002,V0617,web,US,2024-01-08,true,true,true,true,true,true,true,true,true
S0003,V0164,web,US,2024-01-01,true,true,true,true,true,true,true,true,true
S0004,V0105,web,US,2024-01-23,true,true,true,true,false,false,false,false,false
S0005,V0081,web,US,2024-01-03,true,true,true,true,true,true,true,true,false
S0006,V0371,web,US,2024-01-18,true,true,true,false,false,false,false,false,false
S0007,V0082,web,US,2024-01-19,true,true,true,true,false,false,false,false,false
S0008,V0700,web,US,2024-01-28,true,true,true,true,true,true,true,true,true
S0009,V0705,web,US,2024-01-21,true,true,true,true,true,true,true,false,false
S0010,V0411,web,US,2024-01-18,true,true,true,true,true,true,false,false,false
S0011,V0581,web,US,2024-01-09,true,true,false,false,false,false,false,false,false
S0012,V0218,web,US,2024-01-29,true,false,false,false,false,false,false,false,false
S0013,V0659,web,US,2024-01-21,true,true,false,false,false,false,false,false,false
S0014,V0142,web,US,2024-01-15,true,true,true,true,true,true,true,true,true
S0015,V0113,web,US,2024-01-17,true,true,false,false,false,false,false,false,false
S0016,V0697,web,US,2024-01-05,true,false,false,false,false,false,false,false,false
S0017,V0697,web,US,2024-01-14,true,true,true,true,true,true,true,false,false
S0018,V0769,web,US,2024-01-24,true,true,false,false,false,false,false,false,false
S0019,V0349,web,US,2024-01-09,true,false,false,false,false,false,false,false,false
S0020,V0781,web,US,2024-01-04,true,true,true,true,true,true,false,false,false
S0021,V0520,web,US,2024-01-06,true,true,true,true,false,false,false,false,false
S0022,V0544,web,US,2024-01-20,true,true,true,true,false,false,false,false,false
S0023,V0315,web,US,2024-01-30,true,true,true,true,false,false,false,false,false
S0024,V0081,web,US,2024-01-08,true,true,false,false,false,false,false,false,false
S0025,V0071,web,US,2024-01-03,true,false,false,false,false,false,false,false,false
S0026,V0170,ios,US,2024-01-25,true,true,true,true,false,false,false,false,false
S0027,V0553,ios,US,2024-01-09,true,true,true,false,false,false,false,false,false
S0028,V0206,ios,US,2024-01-25,true,false,false,false,false,false,false,false,false
S0029,V0666,ios,US,2024-01-23,true,true,false,false,false,false,false,false,false
S0030,V0073,ios,US,2024-01-12,true,true,true,true,true,true,true,true,true
S0031,V0339,ios,US,2024-01-23,true,true,true,false,false,false,false,false,false
S0032,V0591,ios,US,2024-01-03,true,true,true,true,true,true,false,false,false
S0033,V0056,ios,US,2024-01-16,true,true,true,true,true,true,true,true,false
S0034,V0662,ios,US,2024-01-22,true,false,false,false,false,false,false,false,false
S0035,V0112,ios,US,2024-01-04,true,true,true,false,false,false,false,false,false
S0036,V0078,ios,US,2024-01-08,true,true,true,true,true,true,false,false,false
S0037,V0564,ios,US,2024-01-15,true,false,false,false,false,false,false,false,false
S0038,V0016,ios,US,2024-01-04,true,true,false,false,false,false,false,false,false
S0039,V0243,ios,US,2024-01-03,true,false,false,false,false,false,false,false,false
S0040,V0061,ios,US,2024-01-06,true,true,true,false,false,false,false,false,false
S0041,V0272,ios,US,2024-01-06,true,true,false,false,false,false,false,false,false
S0042,V0466,ios,US,2024-01-30,true,false,false,false,false,false,false,false,false
S0043,V0570,ios,US,2024-01-10,true,true,false,false,false,false,false,false,false
S0044,V0159,android,US,2024-01-22,true,false,false,false,false,false,false,false,false
S0045,V0594,android,US,2024-01-07,true,true,false,false,false,false,false,false,false
S0046,V0059,android,US,2024-01-24,true,true,false,false,false,false,false,false,false
S0047,V0515,android,US,2024-01-02,true,false,false,false,false,false,false,false,false
S0048,V0162,android,US,2024-01-30,true,false,false,false,false,false,false,false,false
